Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Bovine feed,BV40, at farm gate/kg",0.00366,kg CO2 eq,65,7,56,raw materials/ingredients,France,Bovine feed
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00265,kg CO2 eq,66,7,56,raw materials/ingredients,France,Soft wheat grain
"Cull cow, conventional, lowland milk system, silage maize more than 30%, at farm",0.2084,kg CO2 eq,67,6,5,raw materials/ingredients,France,Cull cow
"Calf of 0 day, conventional, lowland milk system, silage maize more than 30% (an",0.02256,kg CO2 eq,68,7,67,raw materials/ingredients,France,Calf of 0 day
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00281,kg CO2 eq,69,8,68,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.0026,kg CO2 eq,70,9,69,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00246,kg CO2 eq,71,10,70,raw materials/ingredients,Brazil,Soybean oil and meal
"Grazed grass, permanent meadow, without clover, Northwestern region, on field",0.01144,kg CO2 eq,72,7,67,raw materials/ingredients,France,Grazed grass
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00764,kg CO2 eq,73,7,67,raw materials/ingredients,France,Grass silage
"Baled hay, temporary meadow, with clover, Northwestern region, at farm",0.00588,kg CO2 eq,74,7,67,raw materials/ingredients,France,Baled hay
"Bovine feed,MAT18, at farm gate | Bovine feed, MAT18, at farm gate",0.00284,kg CO2 eq,75,7,67,raw materials/ingredients,France,Bovine feed
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.0028,kg CO2 eq,76,7,67,raw materials/ingredients,Switzerland,heat production
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00242,kg CO2 eq,77,7,67,raw materials/ingredients,France,Soybean meal BR
"Young dairy bull, conventional, fattening system, at farm gate",0.08347,kg CO2 eq,78,6,5,raw materials/ingredients,France,Young dairy bull
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.01165,kg CO2 eq,79,7,78,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.0108,kg CO2 eq,80,8,79,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.01022,kg CO2 eq,81,9,80,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00907,kg CO2 eq,82,10,81,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.0084,kg CO2 eq,83,11,82,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00671,kg CO2 eq,84,12,83,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00518,kg CO2 eq,85,13,84,raw materials/ingredients,Brazil,clear-cutting
"Conventional lowland milk system, silage maize more than 30%, 13 days old calf f",0.01144,kg CO2 eq,86,7,78,raw materials/ingredients,France,Conventional lowland milk system
"Calf of 0 day, conventional, lowland milk system, silage maize more than 30% (an",0.01129,kg CO2 eq,87,8,86,raw materials/ingredients,France,Calf of 0 day
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.0035,kg CO2 eq,88,7,78,raw materials/ingredients,France,Silage maize
"Bovine feed,suckler feed, at farm gate/kg",0.00336,kg CO2 eq,89,7,78,raw materials/ingredients,France,Bovine feed
"Cull cow, conventional, lowland milk system, silage maize 10 to 30%, at farm gat",0.08084,kg CO2 eq,90,6,5,raw materials/ingredients,France,Cull cow
"Calf of 0 day, conventional, lowland milk system, silage maize 10 to 30% (animal",0.00703,kg CO2 eq,91,7,90,raw materials/ingredients,France,Calf of 0 day
"Grazed grass, permanent meadow, without clover, Northwestern region, on field",0.00482,kg CO2 eq,92,7,90,raw materials/ingredients,France,Grazed grass
"Baled hay, temporary meadow, with clover, Northwestern region, at farm",0.00285,kg CO2 eq,93,7,90,raw materials/ingredients,France,Baled hay
"Cull cow, conventional, highland milk system, grass fed, at farm gate",0.07878,kg CO2 eq,94,6,5,raw materials/ingredients,France,Cull cow
"Calf of 0 day, conventional, highland milk system, grass fed (animal class), at",0.00612,kg CO2 eq,95,7,94,raw materials/ingredients,France,Calf of 0 day
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.00471,kg CO2 eq,96,7,94,raw materials/ingredients,France,Baled hay
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.00448,kg CO2 eq,97,7,94,raw materials/ingredients,France,Grazed grass
"Cull cow, conventional, lowland milk system, silage maize 5 to 10%, at farm gate",0.02908,kg CO2 eq,98,6,5,raw materials/ingredients,France,Cull cow
"Calf of 0 day, conventional, lowland milk system, silage maize 5 to 10% (animal",0.00251,kg CO2 eq,99,7,98,raw materials/ingredients,France,Calf of 0 day
"Cull cow, organic, lowland milk system, silage maize 5 to 10%, at farm gate",0.02189,kg CO2 eq,100,6,5,raw materials/ingredients,France,Cull cow
"heat production, natural gas, at industrial furnace low-NOx >100kW",0.00264,kg CO2 eq,101,5,4,raw materials/ingredients,Europe without Switzerland,heat production
"Gruyere cheese, from cow's milk, at plant",0.17614,kg CO2 eq,102,1,0,raw materials/ingredients,France,Gruyere cheese
"Hard cheese, from cow's milk, consumption mix",0.17614,kg CO2 eq,103,2,102,raw materials/ingredients,France,Hard cheese
"Cheese production; from raw milk, hard cheese ; French production mix, at plant; 1 kg of hard cheese (PGi)",0.1753,kg CO2 eq,104,3,103,raw materials/ingredients,France,Cheese production; from raw milk
"Cow milk, national average, at farm gate/kg",0.16228,kg CO2 eq,105,4,104,raw materials/ingredients,France,Cow milk
"Cow milk, conventional, lowland milk system, silage maize more than 30%, at farm",0.08852,kg CO2 eq,106,5,105,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.01102,kg CO2 eq,107,6,106,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.01022,kg CO2 eq,108,7,107,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00967,kg CO2 eq,109,8,108,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00858,kg CO2 eq,110,9,109,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00794,kg CO2 eq,111,10,110,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00634,kg CO2 eq,112,11,111,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.0049,kg CO2 eq,113,12,112,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.0064,kg CO2 eq,114,6,106,raw materials/ingredients,France,Silage maize
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00239,kg CO2 eq,115,6,106,raw materials/ingredients,France,Grazed grass
"Cow milk, conventional, lowland milk system, silage maize 10 to 30%, at farm gat",0.02804,kg CO2 eq,116,5,105,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00312,kg CO2 eq,117,6,116,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.0029,kg CO2 eq,118,7,117,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00274,kg CO2 eq,119,8,118,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00243,kg CO2 eq,120,9,119,raw materials/ingredients,Brazil,Soybean
"Cow milk, conventional, highland milk system, grass fed, at farm gate",0.02662,kg CO2 eq,121,5,105,raw materials/ingredients,France,Cow milk
"Cow milk, conventional, lowland milk system, silage maize 5 to 10%, at farm gate",0.00964,kg CO2 eq,122,5,105,raw materials/ingredients,France,Cow milk
"Cow milk, organic, lowland milk system, silage maize 5 to 10%, at farm gate",0.00946,kg CO2 eq,123,5,105,raw materials/ingredients,France,Cow milk
"heat production, natural gas, at industrial furnace low-NOx >100kW",0.00436,kg CO2 eq,124,4,104,raw materials/ingredients,Europe without Switzerland,heat production
