Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Soft wheat grain, conventional, breadmaking quality, 15% moisture, at farm gate|",0.02054,kg CO2 eq,120,3,119,raw materials/ingredients,France,Soft wheat grain
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00248,kg CO2 eq,121,4,120,raw materials/ingredients,France,Average mineral fertilizer
"Urea, as N, at plant (WFLDB 3.5)",0.00101,kg CO2 eq,122,5,121,raw materials/ingredients,Europe,Urea
"Urea (46% N), at plant (WFLDB 3.5)",0.00101,kg CO2 eq,123,6,122,raw materials/ingredients,Europe,Urea (46% N)
"Ammonia, steam reforming, at plant (WFLDB 3.5)",0.00123,kg CO2 eq,124,7,123,raw materials/ingredients,Europe,Ammonia
"Ammonium nitrate phosphate, as P2O5, at plant (WFLDB 3.5)",0.00078,kg CO2 eq,125,5,121,raw materials/ingredients,Europe,Ammonium nitrate phosphate
"Ammonium nitrate phosphate, at plant (WFLDB 3.5)",0.00078,kg CO2 eq,126,6,125,raw materials/ingredients,Europe,Ammonium nitrate phosphate
"Harvesting, with combine harvester/hr",0.00067,kg CO2 eq,127,4,120,raw materials/ingredients,France,Harvesting
"Diesel combustion, in tractor/kg",0.00048,kg CO2 eq,128,5,127,raw materials/ingredients,France,Diesel combustion
"sowing or planting, with classic seeder and harrow/hr",0.00054,kg CO2 eq,129,4,120,raw materials/ingredients,France,sowing or planting
"Diesel combustion, in tractor/kg",0.00039,kg CO2 eq,130,5,129,raw materials/ingredients,France,Diesel combustion
"Ploughing, with 5 or 6 soc plough/hr",0.0005,kg CO2 eq,131,4,120,raw materials/ingredients,France,Ploughing
"Diesel combustion, in tractor/kg",0.00039,kg CO2 eq,132,5,131,raw materials/ingredients,France,Diesel combustion
"Soft wheat, seed, conventional, national average, animal feed, at farm gate",0.00046,kg CO2 eq,133,4,120,raw materials/ingredients,France,Soft wheat
"Transporting to farm, with 2 axle trailer (15 t)/hr",0.0004,kg CO2 eq,134,4,120,raw materials/ingredients,France,Transporting to farm
"Soil maintenance, with cover crop 4m/hr",0.00039,kg CO2 eq,135,4,120,raw materials/ingredients,France,Soil maintenance
"Average mineral fertilizer, as P2O5, at regional storehouse/kg",0.00038,kg CO2 eq,136,4,120,raw materials/ingredients,France,Average mineral fertilizer
"Reception, precleaning and storage of raw wheat; soft wheat, industrial production; French production mix, at plant;1 kg stored raw wheat (POUi)",0.00124,kg CO2 eq,137,3,119,raw materials/ingredients,France,Reception
"transport, freight, lorry with refrigeration machine, 7.5-16 ton, EUR",0.00123,kg CO2 eq,138,4,137,raw materials/ingredients,Global,transport
"Olive oil, at plant",0.01379,kg CO2 eq,139,1,0,raw materials/ingredients,France,Olive oil
"Olive oil, at oil mill (WFLDB 3.1)",0.01379,kg CO2 eq,140,2,139,raw materials/ingredients,Global,Olive oil
"Olive, at farm (WFLDB 3.1)",0.0107,kg CO2 eq,141,3,140,raw materials/ingredients,Global,Olive
"Olive, at farm (WFLDB 3.1)/kg",0.00669,kg CO2 eq,142,4,141,raw materials/ingredients,Spain,Olive
"Land use change, perennial crop (WFLDB 3.1)",0.00073,kg CO2 eq,143,5,142,raw materials/ingredients,Spain,Land use change
"land already in use, perennial cropland",0.00073,kg CO2 eq,144,6,143,raw materials/ingredients,Spain,land already in use
Rooting up trees (WFLDB 3.1),0.0006,kg CO2 eq,145,5,142,raw materials/ingredients,Global,Rooting up trees (WFLDB 3.1)
"tillage, harrowing, by rotary harrow",0.00058,kg CO2 eq,146,5,142,raw materials/ingredients,Switzerland,tillage
"Olive, at farm (WFLDB 3.1)/kg",0.00401,kg CO2 eq,147,4,141,raw materials/ingredients,Italy,Olive
"heat production, natural gas, at industrial furnace >100kW",0.0013,kg CO2 eq,148,3,140,raw materials/ingredients,Europe without Switzerland,heat production
"electricity, medium voltage",0.00087,kg CO2 eq,149,3,140,raw materials/ingredients,United States,electricity
"transport, freight, lorry, unspecified",0.00041,kg CO2 eq,150,3,140,raw materials/ingredients,Europe,transport
"Cheese production; from raw milk, soft cheese ; French production mix, at plant; 1 kg of soft cheese (PGi)",0.0008402167700000129,kg CO2 eq,151,4,3,raw materials/ingredients,France,Cheese production; from raw milk
"Cow milk, conventional, lowland milk system, silage maize more than 30%, at farm",0.09755926,kg CO2 eq,152,6,5,raw materials/ingredients,France,Cow milk
"Soybean grain, no tillage, Centerwest",0.0005492317220000004,kg CO2 eq,153,12,11,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.0075867916,kg CO2 eq,154,13,12,raw materials/ingredients,Brazil,clear-cutting
"clear-cutting, primary forest to arable land BR_modified",0.0018991979000000001,kg CO2 eq,155,13,15,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.006069035845879999,kg CO2 eq,156,7,23,raw materials/ingredients,France,Silage maize
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.0033279365092,kg CO2 eq,157,7,27,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0020741341968,kg CO2 eq,158,8,29,raw materials/ingredients,France,Soft wheat grain
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.0013982143703999998,kg CO2 eq,159,7,31,raw materials/ingredients,France,Grass silage
"Cow milk, conventional, lowland milk system, silage maize 10 to 30%, at farm gat",0.03117125563,kg CO2 eq,160,6,37,raw materials/ingredients,France,Cow milk
"clear-cutting, primary forest to arable land BR_modified",0.00214775646,kg CO2 eq,161,13,44,raw materials/ingredients,Brazil,clear-cutting
"clear-cutting, primary forest to arable land BR_modified",0.00053693911,kg CO2 eq,162,13,46,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.001732405962871,kg CO2 eq,163,7,47,raw materials/ingredients,France,Silage maize
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.0018752611114999998,kg CO2 eq,164,7,48,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0005927973544999998,kg CO2 eq,165,7,49,raw materials/ingredients,France,Soft wheat grain
"Cow milk, conventional, highland milk system, grass fed, at farm gate",0.033091349,kg CO2 eq,166,6,52,raw materials/ingredients,France,Cow milk
"Grass silage, horizontal silo, permanent meadow, without clover, Auvergne, at fa",0.0018108808100000006,kg CO2 eq,167,7,53,raw materials/ingredients,France,Grass silage
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.0014329637999999998,kg CO2 eq,168,7,56,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0007651214661000001,kg CO2 eq,169,7,57,raw materials/ingredients,France,Soft wheat grain
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.0007930650299999999,kg CO2 eq,170,7,58,raw materials/ingredients,France,Baled hay
"Cow milk, conventional, lowland milk system, silage maize 5 to 10%, at farm gate",0.01106920985,kg CO2 eq,171,6,63,raw materials/ingredients,France,Cow milk
"clear-cutting, primary forest to arable land BR_modified",0.000527023459,kg CO2 eq,172,13,70,raw materials/ingredients,Brazil,clear-cutting
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.0010264507035,kg CO2 eq,173,7,71,raw materials/ingredients,France,Grazed grass
"Baled hay, permanent meadow, with clover, Northwestern region, at farm",0.00042117461709500006,kg CO2 eq,174,7,72,raw materials/ingredients,France,Baled hay
"Cow milk, organic, lowland milk system, silage maize 5 to 10%, at farm gate",0.0112483036,kg CO2 eq,175,6,74,raw materials/ingredients,France,Cow milk
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.0004926445748800001,kg CO2 eq,176,7,75,raw materials/ingredients,France,Grass silage
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.0006341976458,kg CO2 eq,177,7,76,raw materials/ingredients,France,Grazed grass
"heat production, natural gas, MODIFIED <100kW",0.0126970665,kg CO2 eq,178,5,88,raw materials/ingredients,Europe without Switzerland,heat production
"Tomato, conventional, soil based, non-heated greenhouse, at greenhouse",0.002411159761000002,kg CO2 eq,179,4,100,raw materials/ingredients,France,Tomato
"natural gas, burned in furnace >100kW of greenhouse/MJ",0.009120000000000001,kg CO2 eq,180,6,102,raw materials/ingredients,Europe,natural gas
"Soft wheat grain, conventional, breadmaking quality, 15% moisture, at farm gate|",0.013513786411,kg CO2 eq,181,4,120,raw materials/ingredients,France,Soft wheat grain
"Ammonia, steam reforming, at plant (WFLDB 3.5)",0.0006772655277999999,kg CO2 eq,182,8,124,raw materials/ingredients,Europe,Ammonia
"Olive, at farm (WFLDB 3.1)/kg",0.0019677297299999993,kg CO2 eq,183,5,142,raw materials/ingredients,Spain,Olive
"land already in use, perennial cropland",0.00072524313,kg CO2 eq,184,7,144,raw materials/ingredients,Spain,land already in use
"Olive, at farm (WFLDB 3.1)/kg",0.0013153311482000008,kg CO2 eq,185,5,147,raw materials/ingredients,Italy,Olive
