Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Manure management at farm, liquid-slurry, temperate, per kg VS (WFLDB 3.1)",0.0038364401,kg CO2 eq,153,5,145,-,Global,Manure management at farm
"heat production, heavy fuel oil, at industrial furnace 1MW",0.0191296886,kg CO2 eq,154,3,2,-,Europe without Switzerland,heat production
"electricity, medium voltage",0.0151711454,kg CO2 eq,155,3,2,-,Europe,electricity
"transport, lorry 16-32t, EURO5/tkm",0.00677096,kg CO2 eq,156,3,2,-,Europe,transport
"operation, lorry 16-32t, EURO5 | Operation, chilled, lorry 16-32t, EURO5 (WFLDB 3.1)",0.0060767342,kg CO2 eq,157,4,156,-,Europe,operation
"operation, lorry 16-32t, EURO5 | Diesel, burned in lorry, EURO5 (WFLDB 3.1)",0.0022131358,kg CO2 eq,158,5,157,-,Europe,operation
"Spray drying, dairy products, at dairy (WFLDB 3.1)",0.0150290695,kg CO2 eq,159,2,1,-,Global,Spray drying
"heat production, natural gas, at industrial furnace >100kW",0.0136306509,kg CO2 eq,160,3,159,-,Europe without Switzerland,heat production
"Evaporation, dairy products, at dairy (WFLDB 3.1)",0.0099712302,kg CO2 eq,161,2,1,-,Global,Evaporation
"heat production, natural gas, at industrial furnace >100kW",0.0090516027,kg CO2 eq,162,3,161,-,Europe without Switzerland,heat production
Cocoa liquor (sourced from Cote d'Ivoire),0.6508727749,kg CO2 eq,163,1,0,-,Europe,Cocoa liquor (sourced from Cote d'Ivoire)
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",0.6239211786,kg CO2 eq,164,2,163,-,Cote d'Ivoire,Cocoa beans
"Land use change, perennial crop (WFLDB 3.1)",0.5392763036,kg CO2 eq,165,3,164,-,Cote d'Ivoire,Land use change
"clear-cutting, secondary forest to arable land",0.4720841047,kg CO2 eq,166,4,165,-,Cote d'Ivoire,clear-cutting
"diesel, burned in building machine",0.0022652775,kg CO2 eq,167,5,166,-,Global,diesel
"clear-cutting, primary forest to arable land",0.0473215762,kg CO2 eq,168,4,165,-,Cote d'Ivoire,clear-cutting
"land already in use, perennial cropland",0.0199020427,kg CO2 eq,169,4,165,-,Cote d'Ivoire,land already in use
"Irrigating, surface, diesel powered",0.0205736755,kg CO2 eq,170,3,164,-,Global,Irrigating
"diesel, burned water pump/MJ",0.0128274677,kg CO2 eq,171,4,170,-,Global,diesel
"agricultural machinery production, unspecified",0.004696742,kg CO2 eq,172,4,170,-,Switzerland,agricultural machinery production
Rooting up trees (WFLDB 3.1),0.0110753186,kg CO2 eq,173,3,164,-,Global,Rooting up trees (WFLDB 3.1)
"Diesel, burned in agricultural machinery (WFLDB 3.1)",0.0055853311,kg CO2 eq,174,4,173,-,Global,Diesel
agricultural trailer production,0.0021798969,kg CO2 eq,175,5,174,-,Switzerland,agricultural trailer production
"transport, tractor and trailer, agricultural",0.0045264939,kg CO2 eq,176,4,173,-,Switzerland,transport
"acetamide-anillide-compound production, unspecified",0.0043264526,kg CO2 eq,177,3,164,-,Europe,acetamide-anillide-compound production
"Irrigating, sprinkler, diesel powered",0.0030144618,kg CO2 eq,178,3,164,-,Global,Irrigating
ammonium nitrate production,0.0027690073,kg CO2 eq,179,3,164,-,Europe,ammonium nitrate production
calcium ammonium nitrate production,0.0022339923,kg CO2 eq,180,3,164,-,Europe,calcium ammonium nitrate production
"nutrient supply from potassium nitrate | Potassium fertiliser, as K2O",0.0020175673,kg CO2 eq,181,3,164,-,Global,nutrient supply from potassium nitrate | Potassium fertiliser
"Cocoa beans processing, at plant (WFLDB 3.1)",0.0269515963,kg CO2 eq,182,2,163,-,Europe,Cocoa beans processing
"diesel, burned in building machine",0.0119430353,kg CO2 eq,183,3,182,-,Global,diesel
"transport, freight, lorry 7.5-16 metric ton, EURO3",0.0052070069,kg CO2 eq,184,3,182,-,Europe,transport
"transport, freight, lorry 16-32 metric ton, EURO4",0.0039900256,kg CO2 eq,185,3,182,-,Europe,transport
"transport, freight, sea, transoceanic ship",0.0038639659,kg CO2 eq,186,3,182,-,Global,transport
Cocoa liquor (sourced from Cote d'Ivoire),0.3071268992,kg CO2 eq,187,1,0,-,Europe,Cocoa liquor (sourced from Cote d'Ivoire)
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",0.2944092676,kg CO2 eq,188,2,187,-,Cote d'Ivoire,Cocoa beans
"Land use change, perennial crop (WFLDB 3.1)",0.2544679473,kg CO2 eq,189,3,188,-,Cote d'Ivoire,Land use change
"clear-cutting, secondary forest to arable land",0.2227620095,kg CO2 eq,190,4,189,-,Cote d'Ivoire,clear-cutting
"clear-cutting, primary forest to arable land",0.0223296004,kg CO2 eq,191,4,189,-,Cote d'Ivoire,clear-cutting
"land already in use, perennial cropland",0.0093911635,kg CO2 eq,192,4,189,-,Cote d'Ivoire,land already in use
"Irrigating, surface, diesel powered",0.0097080864,kg CO2 eq,193,3,188,-,Global,Irrigating
"diesel, burned water pump/MJ",0.0060528886,kg CO2 eq,194,4,193,-,Global,diesel
"agricultural machinery production, unspecified",0.0022162485,kg CO2 eq,195,4,193,-,Switzerland,agricultural machinery production
Rooting up trees (WFLDB 3.1),0.0052261032,kg CO2 eq,196,3,188,-,Global,Rooting up trees (WFLDB 3.1)
"Diesel, burned in agricultural machinery (WFLDB 3.1)",0.0026355464,kg CO2 eq,197,4,196,-,Global,Diesel
"transport, tractor and trailer, agricultural",0.0021359136,kg CO2 eq,198,4,196,-,Switzerland,transport
"acetamide-anillide-compound production, unspecified",0.0020415203,kg CO2 eq,199,3,188,-,Europe,acetamide-anillide-compound production
"Cocoa beans processing, at plant (WFLDB 3.1)",0.0127176317,kg CO2 eq,200,2,187,-,Europe,Cocoa beans processing
"diesel, burned in building machine",0.0056355521,kg CO2 eq,201,3,200,-,Global,diesel
