Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"heat production, natural gas, at industrial furnace low-NOx >100kW",0.0424058849,kg CO2 eq,136,1,0,-,Europe without Switzerland,heat production
"Soybean oil, at oil mill",0.0075837547,kg CO2 eq,137,1,0,-,Global,Soybean oil
"Soybean oil, at oil mill (WFLDB 3.1)",0.0054790174,kg CO2 eq,138,2,137,-,Argentina,Soybean oil
"Soybean, at farm (WFLDB 3.1)",0.0053758052,kg CO2 eq,139,3,138,-,Argentina,Soybean
"Land use change, annual crop (WFLDB 3.1)",0.0051413218,kg CO2 eq,140,4,139,-,Argentina,Land use change
"transport, freight, lorry, unspecified",0.0064961059,kg CO2 eq,141,1,0,-,Europe,transport
"transport, freight, sea, transoceanic ship",0.0055976553,kg CO2 eq,142,1,0,-,Global,transport
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",0.07709317770000101,kg CO2 eq,143,3,2,-,Indonesia,Cocoa beans
"Land use change, perennial crop (WFLDB 3.1)",0.2512081732000002,kg CO2 eq,144,4,3,-,Indonesia,Land use change
"clear-cutting, primary forest to arable land",1.2886381875,kg CO2 eq,145,5,4,-,Indonesia,clear-cutting
"clear-cutting, secondary forest to arable land",0.8815832649,kg CO2 eq,146,5,6,-,Indonesia,clear-cutting
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",0.03637790570000021,kg CO2 eq,147,3,17,-,Indonesia,Cocoa beans
"Land use change, perennial crop (WFLDB 3.1)",0.11853743199999989,kg CO2 eq,148,4,18,-,Indonesia,Land use change
"clear-cutting, primary forest to arable land",0.6080688362000001,kg CO2 eq,149,5,19,-,Indonesia,clear-cutting
"clear-cutting, secondary forest to arable land",0.41599210319999996,kg CO2 eq,150,5,20,-,Indonesia,clear-cutting
"clear-cutting, primary forest to arable land",0.0116796617,kg CO2 eq,151,11,34,-,Brazil,clear-cutting
"soybeans, at farm/kg",0.0105799699,kg CO2 eq,152,9,35,-,United States,soybeans
"clear-cutting, secondary forest to arable land",0.0080564084,kg CO2 eq,153,11,38,-,Argentina,clear-cutting
"clear-cutting, primary forest to arable land",0.0076976694,kg CO2 eq,154,11,68,-,Brazil,clear-cutting
"soybeans, at farm/kg",0.0069728998,kg CO2 eq,155,9,69,-,United States,soybeans
"clear-cutting, secondary forest to arable land",0.0053097058,kg CO2 eq,156,11,72,-,Argentina,clear-cutting
"Rice, at farm (WFLDB 3.1)/kg",0.006701528499999999,kg CO2 eq,157,8,75,-,India,Rice
"clear-cutting, primary forest to arable land",0.0097824577,kg CO2 eq,158,11,85,-,Brazil,clear-cutting
"soybeans, at farm/kg",0.008861396300000001,kg CO2 eq,159,9,86,-,United States,soybeans
"clear-cutting, secondary forest to arable land",0.0067477532,kg CO2 eq,160,11,89,-,Argentina,clear-cutting
"Sugar beet, at farm (WFLDB 3.1)/kg",0.005055656400000002,kg CO2 eq,161,4,130,-,United States,Sugar beet
